Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
07/01/2020,266,13,22,17,98,51,32,27,25,6,10,0,154,111,1,96,2,72,73,2,21,0,0,0,3,2,2,2,4,0,5,8,0,6,0,4,3,0,0,1,1,0,4,5,4,3,4,0,11,11,0,5,1,11,4,0,1
08/02/2022,962,1,37,116,196,204,138,110,97,71,30,0,542,417,3,253,54,265,208,44,138,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,6,3,3,2,9,6,8,0,18,19,0,4,2,19,11,0,1
09/12/2020,136,0,11,11,31,34,25,18,11,5,1,0,69,66,1,40,8,21,47,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,1,0,0,0,5,6,0,5,1,4,1,0,0
10/21/2021,337,5,23,84,69,71,40,39,19,14,1,0,184,153,0,55,18,70,116,24,54,0,0,1,0,1,1,1,1,0,3,2,0,1,0,4,0,0,0,0,3,7,1,4,2,5,1,0,9,14,0,6,2,10,3,1,1
10/30/2021,280,2,17,57,60,63,29,32,21,12,6,0,140,139,1,60,18,72,82,22,26,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,1,2,5,3,3,2,0,11,6,0,4,1,8,3,1,0
11/15/2020,833,13,122,85,191,160,139,110,84,35,28,1,443,390,0,249,29,158,262,46,89,0,0,0,0,0,5,4,4,0,7,6,0,7,1,4,1,0,0,4,8,8,17,12,24,26,23,0,69,53,0,44,2,50,19,5,2
04/22/2020,1053,45,147,33,168,168,168,206,150,65,95,0,547,506,0,488,26,282,125,47,85,0,0,3,2,5,15,8,12,0,20,25,0,8,0,27,9,1,0,0,5,10,28,24,33,22,25,0,71,76,0,47,4,60,26,9,1
01/03/2022,9482,24,250,2260,1963,1671,1275,1114,741,271,180,7,5214,4247,21,2265,439,1966,2132,732,1948,0,0,0,1,3,9,4,7,0,10,14,0,4,0,14,5,1,0,10,31,19,25,43,41,36,45,0,142,108,0,52,7,119,57,9,6
05/29/2022,537,0,28,103,117,97,74,59,44,22,21,0,299,237,1,98,38,100,190,41,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,3,3,10,0,16,12,0,4,4,9,10,1,0
05/13/2022,1262,2,35,292,220,230,182,145,111,58,24,0,713,546,3,244,109,236,447,56,170,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,3,2,2,4,7,7,10,0,19,16,0,6,2,12,14,1,0
